Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
abnormal heart,,,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
"abscess, brain",,,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
"abscess, kidney",,,,,,,,,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
"abscess, liver",,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
ACL tear (anterior cruciate ligament tear),"left, right, bilateral","ACL |
ACL tear |
anterior cruciate ligament tear",ACL,ACL tear,anterior cruciate ligament tear,,,ACL,ACL tear,anterior cruciate ligament tear,,,,,"ACL tear (anterior cruciate ligament tear), right","ACL tear (anterior cruciate ligament tear), left","ACL tear (anterior cruciate ligament tear), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
acne,,,,,,,,,,,,,,,acne,,,,,,9016,Skin,7828,acne,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
acromegaly,,,,,,,,,,,,,,,,,,,,,8973,Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Addison's disease,,,,,,,,,,,,,,,,,,,,,8973,Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Digestive,,,,,,,,,,,,,,,,,,,,,8920,Adhesions - Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
Adhesions - Gynecological,,,,,,,,,,,,,,,,,,,,,8921,Adhesions - Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
