# rows of data: 5000,  
# @contention_text,@classification_code
sleep apnea,9012
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
hypertension (high blood pressure),8979
depression (major depressive disorder),8989
sleep apnea,9012
"ankylosis in knee, right",8997
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
lower back sprain (lumbosacral sprain),8998
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
migraines (headaches),9007
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
neck strain (cervical strain),8999
"shoulder strain, bilateral",9002
lower back strain (lumbosacral strain),8998
"knee instability, bilateral",8997
"ankle sprain, bilateral",8991
"diabetic peripheral neuropathy, bilateral lower extremities",9006
hearing loss,3140
"visual impairment, including blurry vision, blindness and double vision",8974
hypertension (high blood pressure),8979
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
traumatic brain injury (TBI),9020
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['allergic rhinitis'],9012
Sinusitis,9012
migraines (headaches),9007
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
"knee strain or sprain, left",8997
tinnitus (ringing or hissing in ears),3140
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
unmapped contention text ['gastritis'],8968
hypertension (high blood pressure),8979
hearing loss,3140
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"knee strain or sprain, right",8997
lower back strain (lumbosacral strain),8998
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
"knee instability, bilateral",8997
Lumbar Strain,8998
Hypertension,8979
migraines (headaches),9007
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
PTSD (post-traumatic stress disorder),8989
PTSD (post-traumatic stress disorder),8989
Sinus condition,9012
"chronic rhinitis, allergic or non-allergic",9012
sleep apnea,9012
gallstones (cholelithiasis),8968
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
sleep apnea,9012
"shoulder replacement (shoulder arthroplasty), right",9002
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['pes planus'],8994
erectile dysfunction (ED),8975
generalized anxiety disorder (GAD),8989
adjustment disorder,8989
"KNEE CONDITION, BILATERAL",8997
unmapped contention text ['back low'],8998
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
lower back strain (lumbosacral strain),8998
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
"knee strain or sprain, left",8997
unmapped contention text ['hip'],8996
"hip sprain, left",8996
neck strain (cervical strain),8999
"shoulder strain, right",9002
sleep apnea,9012
lower back strain (lumbosacral strain),8998
hypertension (high blood pressure),8979
hyperthyroidism (overactive thyroid),8973
"knee replacement (knee arthroplasty), bilateral",8997
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
migraines (headaches),9007
hypertension (high blood pressure),8979
acne,9016
deviated septum,9012
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
colorectal cancer or colon cancer,8932
dry eye syndrome,8974
erectile dysfunction (ED),8975
migraines (headaches),9007
neck strain (cervical strain),8999
"ankylosis in shoulder, bilateral",9002
lower back strain (lumbosacral strain),8998
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
