text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"ankylosis in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"ankle sprain, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
traumatic brain injury (TBI),9020,Traumatic Brain Injury,9020,Traumatic Brain Injury,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
allergic rhinitis,9012,Respiratory,9012,Respiratory,True
Sinusitis,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
gastritis,8968,Digestive,8968,Digestive,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"knee strain or sprain, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
Lumbar Strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
Sinus condition,9012,Respiratory,9012,Respiratory,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
gallstones (cholelithiasis),8968,Digestive,8968,Digestive,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
