text_to_classify,predicted_code,predicted_label,prediction_probability
musculoskeletal conditions,9001,Musculoskeletal - Other,0.4
knee problems,8997,Musculoskeletal - Knee,1.0
insomia smoking pit effects migraines,9012,Respiratory,0.57
anxiety sleep disturbance,8989,Mental Disorders,0.99
knee both,8997,Musculoskeletal - Knee,1.0
hip both,8996,Musculoskeletal - Hip,1.0
acid reflex heartburn,8968,Digestive,0.93
wrist both,9004,Musculoskeletal - Wrist,0.99
pfb face chin neck,9016,Skin,0.53
bruxism,8967,Dental and Oral,0.55
sleep acmea,8989,Mental Disorders,0.6
cervical strain claimed neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.99
thoracolumbar spine strain claimed lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
separation anxiety,8989,Mental Disorders,0.86
narcolepsy,9007,Neurological other System,0.77
both knee,8997,Musculoskeletal - Knee,1.0
eye infection ocular herpes,8974,Eye (Vision),0.83
lumbar disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.94
respiratory irritation coughing skin rashes dermatitis contact headaches fatigue eye irritation sinus problems,9012,Respiratory,0.64
hand finger,8995,Musculoskeletal - Hand,1.0
insomnia,8989,Mental Disorders,0.95
elbow ache,8993,Musculoskeletal - Elbow,0.73
acne vulgaris,9016,Skin,0.91
fractured nasal bones,9012,Respiratory,0.47
contusion hand,8995,Musculoskeletal - Hand,0.52
rupture subscapularis tendon,9005,Musculoskeletal and Muscle Injuries,0.16
insomnia,8989,Mental Disorders,0.95
lumbar degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
cervical facet syndrome,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.38
lumbar spine degenerative arthritis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
motion sickness,8969,Ear Disease and Other Sense Organs,0.3
alcohol disorder,8989,Mental Disorders,0.81
alopecia areata,9016,Skin,0.93
cervical radicular disease,9006,Neurological - Cranial/Peripheral Nerves,0.62
permanent hypertrophy turbinates,8979,Heart/Veins/Arteries,0.19
hypersomnia,8989,Mental Disorders,0.55
insomnia,8989,Mental Disorders,0.95
hyperlipidemia,8979,Heart/Veins/Arteries,0.57
insomnia,8989,Mental Disorders,0.95
cannabis disorder,8989,Mental Disorders,0.55
alcohol disorder,8989,Mental Disorders,0.81
